State,Primary URL,Category,Tech Stack,Scraping Strategy,Has Bulk Export,Has API,Notes
Alabama,https://open.alabama.gov/,CAT-C,ASP.NET server-rendered,Scrape .aspx pages with postback simulation,No,No,Hub page linking to spending.aspx and contracts.aspx
Alaska,https://doa.alaska.gov/dof/reports/transparency.html,CAT-A/F,Static HTML + links to Socrata (checkbook.alaska.gov),Socrata SODA API via checkbook.alaska.gov,No,Yes (Socrata),Landing page links to Checkbook Alaska on Socrata
Arizona,https://openbooks.az.gov/,CAT-C,ASP.NET (403 on WebFetch but works in Chrome),Chrome/Playwright scrape or inspect for API,Unknown,Unknown,Blocked automated requests - needs browser-based approach
Arkansas,https://transparency.arkansas.gov/,CAT-D,Custom backend with CSRF tokens and search form,HTTP POST with CSRF token handling,No,No,Custom-built portal with tabbed search interface
California,https://open.fiscal.ca.gov/,CAT-D/F,Custom (explore + download expenditures),Check download feature for bulk CSV,Yes (likely),Unknown,Has dedicated Download Expenditures page
Colorado,https://data.colorado.gov/stories/s/Transparency-Online-Project-TOPS-State-Government-/rifs-n6ib/,CAT-A,Socrata/Tyler Data & Insights + React + Mapbox,SODA API with $limit/$offset pagination,Yes (CSV/TSV/JSON),Yes (SODA),44.7M+ rows; full Socrata platform with extensive API
Connecticut,https://openbudget.ct.gov/,CAT-A/D,AngularJS + D3 + Leaflet + SODA references,SODA API or scrape Angular endpoints,Yes (CSV),Yes (SODA),Sophisticated AngularJS SPA with SODA backend
Delaware,https://finance.delaware.gov/delaware-transparency/,CAT-F,WordPress hub linking to checkbook.delaware.gov,Follow links to checkbook.delaware.gov and contracts.delaware.gov,Unknown,Unknown,Hub page - actual data on separate portals
Florida,https://facts.fldfs.com/Search/ContractSearch.aspx,CAT-C,ASP.NET WebForms with __doPostBack + AJAX,Simulate ViewState postbacks and paginate,No,No,"21,225 contracts; classic ASP.NET with UpdatePanel"
Georgia,https://open.ga.gov/,CAT-F,Static HTML with Excel/PDF downloads,Download Excel/PDF reports directly,Yes (Excel/PDF),No,Limited to downloadable reports
Hawaii,https://hawaii.opengov.com/,CAT-B,OpenGov platform (Ruby on Rails + React),OpenGov API extraction or Playwright scrape,Unknown,No (proprietary),OpenGov Reporting platform with React frontend
Idaho,https://transparent.idaho.gov/,CAT-D,Custom (minimal HTML visible; GA + Qualtrics),Needs Chrome inspection for underlying API,Unknown,Unknown,Tech stack not fully visible from landing page
Illinois,https://itap.illinois.gov/,CAT-F,Adobe Experience Manager (AEM) hub,Follow links to Illinois Comptroller data systems,No,No,CMS hub linking to external databases
Indiana,https://www.in.gov/itp/,CAT-F,Static HTML + Google Translate,Follow links to contracts/finances sub-pages,No,No,Lightweight hub linking to separate data sections
